,title,elo,genre,year,W,L
402,The Aristocats,100,Comedy/Animation/Family/Adventure,1970,1,0
417,Stardust,100,Romance/Family/Adventure/Fantasy,2007,1,0
431,Zathura: A Space Adventure,100,Adventure/Family/Science Fiction,2005,1,0
436,The Last Temptation of Christ,100,Drama,1988,1,0
12,The Departed,100,Thriller/Crime/Drama,2006,1,0
16,DodgeBall: A True Underdog Story,100,Comedy,2004,1,0
26,The Seagull,100,Comedy/Drama/Romance,2018,1,0
30,Star Wars: The Force Awakens,100,Action/Adventure/Science Fiction,2015,1,0
35,Calvary,100,Drama,2014,1,0
38,Whisper of the Heart,100,Drama/Animation/Family,1995,1,0
48,Ant-Man,100,Adventure/Science Fiction/Action,2015,1,0
62,The Other Guys,100,Comedy/Action,2010,1,0
68,Rush Hour,100,Crime/Action/Comedy,1998,1,0
86,Bo Burnham: What.,100,Music/Comedy,2013,1,0
106,John Mulaney: Kid Gorgeous at Radio City,100,Comedy/TV Movie,2018,1,0
118,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,100,TV Movie/Comedy/Music,2018,1,0
119,Rent,100,Drama/Romance,2005,1,0
134,We're the Millers,100,Comedy/Crime,2013,1,0
144,Hotel Chevalier,100,Drama/Romance,2007,1,0
161,The Day the Earth Stood Still,100,Drama/Thriller/Science Fiction,2008,1,0
175,The Holdovers,100,Drama/Comedy,2023,1,0
195,Vanilla Sky,100,Romance/Science Fiction/Mystery,2001,1,0
225,The Silence of the Lambs,100,Crime/Thriller/Horror/Drama,1991,1,0
241,Soul,100,Music/Drama/Family/Animation/Fantasy,2020,1,0
250,The Breakfast Club,100,Drama/Comedy,1985,1,0
266,Captain America: The Winter Soldier,100,Adventure/Science Fiction/Action,2014,1,0
283,Star Wars: The Last Jedi,100,Adventure/Action/Science Fiction,2017,1,0
286,Raiders of the Lost Ark,100,Adventure/Action,1981,1,0
298,The Rocky Horror Picture Show,100,Horror/Comedy/Science Fiction,1975,1,0
303,The Wizard of Oz,100,Adventure/Fantasy/Family,1939,1,0
305,Lilo & Stitch,100,Comedy/Animation/Family/Science Fiction,2002,1,0
307,Hot Fuzz,100,Action/Crime/Comedy,2007,1,0
329,The Sound of Music,100,Drama/Music/Romance/Family,1965,1,0
332,Into the Wild,100,Drama/Adventure,2007,1,0
348,Hocus Pocus,100,Comedy/Family/Fantasy,1993,1,0
350,Lawrence of Arabia,100,Adventure/War/History,1962,1,0
373,Brother Bear,100,Animation/Family/Adventure,2003,1,0
385,Moonstruck,100,Romance/Comedy/Drama,1987,1,0
387,Army of Darkness,100,Comedy/Fantasy/Horror,1992,1,0
391,National Treasure,100,Mystery/Adventure/Action,2004,1,0
421,The Road to El Dorado,100,Fantasy/Comedy/Family/Animation/Adventure,2000,1,0
434,A Charlie Brown Christmas,100,Family/Comedy/TV Movie/Animation,1965,1,0
471,Rudolph the Red-Nosed Reindeer,100,Family/Adventure/Animation/Fantasy,1964,1,0
484,Doctor Zhivago,100,War/Drama/Romance,1965,1,0
486,Nick and Norah's Infinite Playlist,100,Romance/Music/Comedy,2008,1,0
493,Charlotte's Web,100,Fantasy/Comedy/Family,2006,1,0
510,The Devil Wears Prada 2,100,Comedy/Drama,2026,1,0
514,Mary Oliver: Saved by the Beauty of the World,100,Documentary,2026,1,0
168,The Empire Strikes Back,79,Science Fiction/Adventure/Action,1980,1,0
5,The Dark Knight,71,Thriller/Action/Crime,2008,1,0
159,Willy Wonka & the Chocolate Factory,71,Comedy/Family/Fantasy,1971,1,0
160,22 Jump Street,71,Action/Crime/Comedy,2014,1,0
263,Juno,71,Comedy/Romance/Drama,2007,1,0
346,Kingsman: The Golden Circle,71,Crime/Action/Adventure/Comedy,2017,1,0
349,The Theory of Everything,71,Romance/Drama,2014,1,0
380,Treasure Planet,71,Fantasy/Adventure/Science Fiction/Animation/Family,2002,1,0
395,The Birdcage,71,Comedy/Romance,1996,1,0
410,Popstar: Never Stop Never Stopping,71,Comedy/Music,2016,1,0
217,Mulholland Drive,64,Drama/Mystery/Thriller,2001,1,0
113,Hannah Gadsby: Nanette,28,Comedy,2018,1,1
276,Encanto,28,Comedy/Family/Fantasy/Animation,2021,1,1
414,Tusk,28,Horror/Comedy,2014,1,1
457,The Lizzie McGuire Movie,0,Family/Comedy,2003,1,1
1,Wicked,0,Romance/Drama/Fantasy,2024,0,0
2,"Planes, Trains and Automobiles",0,Comedy,1987,0,0
3,Home Alone,0,Family/Comedy,1990,0,0
4,Inception,0,Action/Adventure/Science Fiction,2010,0,0
6,Spider-Man: Into the Spider-Verse,0,Adventure/Animation/Action/Science Fiction,2018,0,0
7,Get Out,0,Horror/Mystery/Thriller,2017,0,0
8,The Truman Show,0,Comedy/Drama,1998,0,0
10,Barbie,0,Comedy/Fantasy/Adventure,2023,0,0
11,The Blues Brothers,0,Music/Comedy/Crime,1980,0,0
14,Rogue One: A Star Wars Story,0,Adventure/Action/Science Fiction,2016,0,0
